Taxon,counts,CommonName,tms
Leptoseris spp.,1,Stony corals,"List of threatened species of the Philippines,List of marine cnidarians of South Africa"
Pachyseris spp.,1,Stony corals,List of marine cnidarians of South Africa
Pavona maldivensis,1,Pavona maldivensis,"Pavona maldivensis,Pavona (coral),Enderbury Island,Coral reefs of Kiribati,List of corals of the Solomon Islands,List of corals of the Houtman Abrolhos,Liquid Jungle Lab,List of least concern invertebrates,French Frigate Shoals"
Cygnus melancoryphus,1,Black-necked swan,"Black-necked swan,Swan,Laguna Blanca National Park,List of species protected by CITES Appendix II,List of birds of South America,List of Anatidae species,List of birds of Brazil,List of birds of Argentina,List of birds of the Falkland Islands,List of birds of Asia"
Abronia graminea,1,Mexican alligator lizard,"Mexican alligator lizard,Abronia (lizard),List of endangered reptiles,IUCN Red List endangered species (Animalia),List of Caryophyllales of Montana,List of flora of the Sonoran Desert Region by common name,IUCN Red List data deficient species (Chordata)"
Candoia paulsoni,1,Candoia paulsoni,"Candoia paulsoni,Candoia carinata,Candoia,Woodlark Island,List of snakes by scientific name,List of boine species and subspecies"
Charina bottae,1,Rubber boa,"Rubber boa,Charina,Southern rubber boa,List of erycine species and subspecies,Pemberton, British Columbia,List of reptiles of Washington (state),List of reptiles of Canada,Calabar python,Lava Beds National Monument,List of animals of Yellowstone"
Epicrates crassus,1,Epicrates crassus,"Epicrates crassus,Epicrates (snake),List of snakes by scientific name,List of boine species and subspecies,Imperium (Harris novel),Rio Cautário Federal Extractive Reserve,IUCN Red List near threatened species (Animalia),Latin word order"
Eryx miliaris,1,Eryx miliaris,"Eryx miliaris,Eryx (snake),List of erycine species and subspecies,List of reptiles of Europe,List of reptiles of Kazakhstan,List of reptiles of China,Long-legged buzzard,List of snakes by scientific name,List of reptiles of Afghanistan,Amphibia in the 10th edition of Systema Naturae"
Eryx tataricus,1,Eryx miliaris,"Eryx miliaris,Mongolian death worm,List of erycine species and subspecies,List of reptiles of Pakistan,List of reptiles of China,List of snakes by scientific name,List of reptiles of Mongolia,List of reptiles of Kazakhstan,List of reptiles of Afghanistan"
Budorcas taxicolor,1,Takin,"Takin,Sichuan takin,Mishmi takin,Budorcas,Bhutan takin,Golden takin,Caprinae,Motithang Takin Preserve,Myotragus,Northern Triangle temperate forests"
Cephalophus dorsalis,1,Bay duiker,"Bay duiker,Cephalophus,List of even-toed ungulates by population,Impala,Yellow-backed duiker,Bushmeat,List of mammalian gestation durations,Jentink's duiker,Mount Cameroon,Tufted deer"
Cephalophus silvicultor,1,Yellow-backed duiker,"Yellow-backed duiker,Cephalophus,List of even-toed ungulates by population,Jentink's duiker,Kakum National Park,Anoplotheriidae,Tufted deer,Peter Grubb (zoologist),Bay duiker,Zebra duiker"
Ovis cycloceros,1,Urial,"Urial,Ustyurt Mountain sheep,Sherani District"
Ovis darwini,1,Darwini,"Darwini,Argali,List of bovids,Marine mammal,List of least concern fishes,Trachys (beetle),IUCN Red List vulnerable species (Animalia),List of parasites of the marsh rice rat"
Anthracoceros albirostris,1,Oriental pied hornbill,"Oriental pied hornbill,Anthracoceros,Hornbill,Bucerotiformes,Pulau Ubin,Buxa Tiger Reserve,List of birds of Bangladesh,Nakhon Ratchasima province,Hkakaborazi National Park,Northern dry deciduous forests"
Rhyticeros plicatus,1,Blyth's hornbill,"Blyth's hornbill,Hornbill,Rhyticeros,Bucerotiformes,Narcondam hornbill,Narcondam Island,Fauna of New Guinea,List of birds of Indonesia,List of birds of Papua New Guinea,List of birds of Solomon Islands"
Chrysocyon brachyurus,1,Maned wolf,"Maned wolf,Guará,Falkland Islands wolf,Frugivore,C. brachyurus,Fox,Omnivore,List of canids,Caninae,Canidae"
Cuon alpinus,1,Dhole,"Dhole,Ussuri dhole,European dhole,Tien Shan dhole,Leopard,Jackal,Caninae,Largest wild canids,Fox,Quaternary extinction event"
Carcharhinus longimanus,1,Oceanic whitetip shark,"Oceanic whitetip shark,Longimanus,Carcharhinus,Requiem shark,Pregnancy in fish,Bull shark,Dusky shark,Silky shark,Copper shark,Blacktip shark"
Carettochelys insculpta,1,Pig-nosed turtle,"Pig-nosed turtle,Carettochelyidae,Trionychia,Wood turtle,Living fossil,List of reptiles of Australia,Yolarnie Amepou,Southern New Guinea giant softshell turtle,Columbus Zoo and Aquarium,Yam languages"
Euphyllia fimbriata,1,Euphylliidae,Euphylliidae
Euphyllia yaeyamaensis,1,Euphyllia,"Euphyllia,Euphylliidae,IUCN Red List near threatened species (Animalia),List of near threatened invertebrates,List of vulnerable invertebrates,IUCN Red List vulnerable species (Animalia)"
Cebus capucinus,1,Colombian white-faced capuchin,"Colombian white-faced capuchin,Panamanian white-faced capuchin,White-faced capuchin,Gracile capuchin monkey,Capuchin monkey,Cebidae,List of primates,New World monkey,Lycodon capucinus,Primate"
Cebus olivaceus,1,Wedge-capped capuchin,"Wedge-capped capuchin,Gracile capuchin monkey,Capuchin monkey,Cebidae,List of New World monkey species,Harpy eagle,Chestnut capuchin,Blond capuchin,Tufted capuchin,Panamanian white-faced capuchin"
Saguinus midas,1,Golden-handed tamarin,"Golden-handed tamarin,Tamarin,Pied tamarin,Callitrichidae,List of New World monkey species,List of primates,Emperor tamarin,Black tamarin,Eastern black-handed tamarin,Cotton-top tamarin"
Saimiri boliviensis,1,Black-capped squirrel monkey,"Black-capped squirrel monkey,Squirrel monkey,Black squirrel monkey,Common squirrel monkey,Cebidae,List of New World monkey species,Central American squirrel monkey,List of primates,Guianan squirrel monkey,Humboldt's squirrel monkey"
Cercopithecus mona,1,Mona monkey,"Mona monkey,Guenon,Wolf's mona monkey,Crested mona monkey,Campbell's mona monkey,Dent's mona monkey,List of primates,Lowe's mona monkey,Golden monkey,Mount Cameroon"
Cercopithecus nictitans,1,Greater spot-nosed monkey,"Greater spot-nosed monkey,Guenon,List of primates,Blue monkey,Golden monkey,De Brazza's monkey,Vervet monkey,Moustached guenon,Crested mona monkey,Red-tailed monkey"
Colobus angolensis,1,Angola colobus,"Angola colobus,Black-and-white colobus,Ruwenzori colobus,Zanzibar red colobus,Red colobus,Nyungwe Forest,Black colobus,List of Old World monkey species,Ursine colobus,Mantled guereza"
Erythrocebus patas,1,Common patas monkey,"Common patas monkey,Erythrocebus,Southern patas monkey,Blue Nile patas monkey,Old World monkey,Cercopithecinae,Lynne Isbell,Cercopithecini,List of Old World monkey species,Kwara State"
Macaca assamensis,1,Assam macaque,"Assam macaque,Macaque,Barbary macaque,Southern pig-tailed macaque,List of Old World monkey species,Stump-tailed macaque,Rhesus macaque,Lion-tailed macaque,Crab-eating macaque,List of primates"
Macaca nemestrina,1,Southern pig-tailed macaque,"Southern pig-tailed macaque,Northern pig-tailed macaque,Barbary macaque,Lion-tailed macaque,Macaque,Mammal,Clouded leopard,Crab-eating macaque,Japanese macaque,Pig-tailed macaque"
Piliocolobus badius,1,Western red colobus,"Western red colobus,Red colobus,Niger Delta red colobus,Miss Waldron's red colobus,Temminck's red colobus,Tano River,Zanzibar red colobus,List of primates,List of Old World monkey species,Thollon's red colobus"
Trachypithecus auratus,1,East Javan langur,"East Javan langur,Lutung,West Javan langur,White-headed langur,List of Old World monkey species,Silvery lutung,Gee's golden langur,List of primates,Indochinese black langur,Nusa Kambangan"
Cervus elaphus,1,Red deer,"Red deer,Elk,Scottish red deer,Barbary stag,Roosevelt elk,Cervus,Caspian red deer,Rocky Mountain elk,Kashmir stag,Irish elk"
Chamaeleo senegalensis,1,Chamaeleo,"Chamaeleo,Senegal chameleon,Chameleon,Smooth chameleon,Pendjari National Park,List of reptiles of Ghana,List of least concern reptiles,Oochoristica,List of reptiles of Sudan,Wildlife of Mali"
Furcifer lateralis,1,Carpet chameleon,"Carpet chameleon,Furcifer,Turkestan cockroach,Labord's chameleon,List of reptiles in Madagascar,Peyrieras Reptile Reserve,Angel's chameleon,Jewelled chameleon,Madagascar (TV series),List of least concern reptiles"
Furcifer oustaleti,1,Malagasy giant chameleon,"Malagasy giant chameleon,Furcifer,Chameleon,Furcifer verrucosus,List of largest extant lizards,Furcifer nicosiai,Chameleon ranching,Émile Oustalet,List of reptiles in Madagascar,List of reptiles of North America"
Furcifer verrucosus,1,Furcifer verrucosus,"Furcifer verrucosus,Furcifer,Furcifer nicosiai,List of reptiles in Madagascar,List of least concern reptiles,Antilocapridae,Pronghorn,IUCN Red List endangered species (Animalia),List of least concern fishes,List of coleopterans of Sri Lanka"
Kinyongia boehmei,1,Kinyongia boehmei,"Kinyongia boehmei,Kinyongia,List of near threatened reptiles,List of least concern reptiles,IUCN Red List endangered species (Animalia),List of data deficient reptiles"
Trioceros ellioti,1,Trioceros ellioti,"Trioceros ellioti,Trioceros,List of reptiles of the Democratic Republic of the Congo,List of reptiles of Sudan,George Francis Scott Elliot,List of least concern reptiles,IUCN Red List endangered species (Animalia),IUCN Red List vulnerable species (Animalia)"
Trioceros hoehnelii,1,Trioceros hoehnelii,"Trioceros hoehnelii,Trioceros,Helmeted chameleon,Ludwig von Höhnel,List of least concern reptiles"
Trioceros johnstoni,1,Trioceros johnstoni,"Trioceros johnstoni,Trioceros,Harry Johnston,List of reptiles of the Democratic Republic of the Congo,List of least concern reptiles,IUCN Red List endangered species (Animalia)"
Smaug warreni,1,Smaug (lizard),"Smaug (lizard),Zoutpansberg girdled lizard,Warren's girdled lizard,Smaug breyeri,Van Dam's girdled lizard,Mozambique girdled lizard,List of reptiles of South Africa,Smaug barbertonensis,Cordylus,List of animals referred to as girdled"
Lagenodelphis hosei,1,Fraser's dolphin,"Fraser's dolphin,Oceanic dolphin,Melon-headed whale,Cetaceans of the Caribbean,Rainbow runner,Spinner dolphin,Comoro Islands,List of mammals of the Philippines,List of cetaceans,List of marine mammal species"
Stenella coeruleoalba,1,Striped dolphin,"Striped dolphin,Oceanic dolphin,Stenella,Cetaceans of the Caribbean,List of mammals of Tuvalu,Clymene dolphin,Cetacea,List of genetic hybrids,BP,Environmental impact of the Deepwater Horizon oil spill"
Stenella longirostris,1,Spinner dolphin,"Spinner dolphin,Oceanic dolphin,Stenella,Cetaceans of the Caribbean,List of mammals of the Philippines,List of mammals of Tuvalu,List of genetic hybrids,Clymene dolphin,List of mammals of Florida,Abstract (summary)"
Tursiops truncatus,1,Common bottlenose dolphin,"Common bottlenose dolphin,Bottlenose dolphin,Black Sea bottlenose dolphin,Dolphin,Oceanic dolphin,Wholphin,False killer whale,Indo-Pacific bottlenose dolphin,Instituto Via Delphi,Whippomorpha"
Ameerega trivittata,1,Ameerega trivittata,"Ameerega trivittata,Ameerega,Ameerega pepperi,Ameerega yoshina,Ameerega shihuemoy,Dyeing poison dart frog,List of amphibians of Brazil,List of least concern amphibians,List of species protected by CITES Appendix II,IUCN Red List endangered species (Animalia)"
Dendrobates truncatus,1,Yellow-striped poison frog,"Yellow-striped poison frog,Dendrobates,Dendrobatinae,Tropicarium Kolmården,Lebrija River,List of least concern amphibians,Cartagena Botanical Garden,List of species protected by CITES Appendix II,Begging in animals,IUCN Red List data deficient species (Chordata)"
Epipedobates tricolor,1,Phantasmal poison frog,"Phantasmal poison frog,Epipedobates,Poison dart frog,E. tricolor,Epibatidine,Amphibian,Anthony's poison arrow frog,List of endangered amphibians,IUCN Red List endangered species (Animalia),Tumbes–Piura dry forests"
Oophaga histrionica,1,Harlequin poison frog,"Harlequin poison frog,Oophaga,Oophaga anchicayensis,Histrionicotoxins,Mantella,La Brea poison frog,Biodiversity of Colombia,Harlequin frog,Dendrobatinae,List of least concern amphibians"
Ranitomeya fantastica,1,Red-headed poison frog,"Red-headed poison frog,Ranitomeya,Ranitomeya benedicta,Ranitomeya summersi,Dendrobatinae,List of near threatened amphibians,IUCN Red List vulnerable species (Animalia)"
Ranitomeya reticulata,1,Red-backed poison frog,"Red-backed poison frog,Ranitomeya,Huallaga River,Dendrobatinae,Allpahuayo-Mishana National Reserve,List of least concern amphibians,List of data deficient amphibians,IUCN Red List vulnerable species (Animalia),IUCN Red List endangered species (Animalia),IUCN Red List data deficient species (Chordata)"
Ranitomeya sirensis,1,Ranitomeya,"Ranitomeya,Sira poison dart frog,Dendrobatinae,List of least concern amphibians"
Ranitomeya vanzolinii,1,Ranitomeya vanzolinii,"Ranitomeya vanzolinii,Ranitomeya,Dendrobatinae,List of amphibians of Brazil,Evolution of biparental care in tropical frogs,List of least concern amphibians,List of data deficient amphibians,IUCN Red List data deficient species (Chordata),IUCN Red List vulnerable species (Animalia)"
Ranitomeya variabilis,1,Zimmerman's poison frog,"Zimmerman's poison frog,Ranitomeya,Mimic poison frog,Müllerian mimicry,Red-backed poison frog,Dendrobatinae,Evolution of biparental care in tropical frogs,List of data deficient amphibians,IUCN Red List data deficient species (Chordata),List of endangered amphibians"
Balanophyllia spp.,1,Stony corals,"List of marine cnidarians of South Africa,List of marine animals of the Cape Peninsula and False Bay,2014 in paleontology,List of the prehistoric life of Louisiana"
Dendrophyllia spp.,1,Stony corals,"List of marine cnidarians of South Africa,Aliwal Shoal,2014 in paleontology,List of the prehistoric life of Louisiana,2015 in paleontology"
Enallopsammia rostrata,1,Enallopsammia,"Enallopsammia,Deep-water coral"
Tubastraea faulkneri,1,Tubastraea faulkneri,"Tubastraea faulkneri,Tubastraea,Marine wildlife of Baa Atoll"
Turbinaria mesenterina,1,Turbinaria mesenterina,"Turbinaria mesenterina,Turbinaria (coral),King George Sound (Western Australia),List of corals of the Solomon Islands,List of marine cnidarians of South Africa,Marine wildlife of Baa Atoll,IUCN Red List vulnerable species (Animalia),List of corals of the Houtman Abrolhos,List of vulnerable invertebrates"
Dermatemys mawii,1,Hickatee,"Hickatee,Turtle,Living fossil,Hicattee,List of critically endangered reptiles,List of Testudines families,List of endangered species in North America,Emarginachelys,River turtle (disambiguation),List of species protected by CITES Appendix II"
Naja kaouthia,1,Monocled cobra,"Monocled cobra,Naja,List of dangerous snakes,Indian cobra,Caspian cobra,Indochinese spitting cobra,Andaman cobra,Chinese cobra,Egyptian cobra,Mimosa pudica"
Naja sputatrix,1,Javan spitting cobra,"Javan spitting cobra,Naja,Indian cobra,List of dangerous snakes,Egyptian cobra,Equatorial spitting cobra,Forest cobra,Indochinese spitting cobra,Spitting cobra,Cape cobra"
Ophiophagus hannah,1,King cobra,"King cobra,Cobra,Naja,Elapidae,Black mamba,Ophiophagy,National symbols of India,List of dangerous snakes,Hamadryad,Snake skeleton"
Gubernatrix cristata,1,Yellow cardinal,"Yellow cardinal,List of birds of South America,List of species protected by CITES Appendix II,List of birds of Brazil,Uruguayan savanna,List of birds of Argentina,List of tanager species,Argentine Espinal,List of birds of Paraguay,Argentine Monte"
Malaclemys terrapin,1,Diamondback terrapin,"Diamondback terrapin,Terrapin,Tortoise,Callinectes sapidus,Bald eagle,Maryland Terrapins football,Raccoon,University of Maryland, College Park,Potomac River,Soil"
Goniurosaurus luii,1,Goniurosaurus luii,"Goniurosaurus luii,Goniurosaurus,List of reptiles of China,Gracixalus nonggangensis"
